"ID","scientific_name","common_name","latitude","longitude","iso_country_code","taxon_id","year","basis_of_record","provider","resource","occurrence_date","collector","SPACER","id","type","language","institutionCode","collectionCode","basisOfRecord","catalogNumber","occurrenceRemarks","recordedBy","individualCount","samplingProtocol","eventDate","year.orig","month","day","verbatimEventDate","country","verbatimLatitude","verbatimLongitude","verbatimCoordinateSystem","verbatimSRS","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","taxonID","nameAccordingToID","scientificName","nameAccordingTo","genus","specificEpithet","infraspecificEpithet","taxonRank","scientificNameAuthorship","vernacularName","taxonRemarks"
1,"Anolis sagrei","Brown Anole",25.50321,-80.17865226,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-28","Marquette E. Crockett,Christopher D. Bugbee","<--BISON | GBIF-->",1,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",1,"","Marquette E. Crockett,Christopher D. Bugbee",1,"Visual Encounter","2002-03-28",2002,3,28,"3/28/2002","US",2820924,582543,"UTM 17","World Geodetic System of 1984",25.50321,-80.17865226,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
2,"Sphaerodactylus notatus notatus","Florida Reef Gecko",25.50321,-80.17865226,"US",208985,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-28","Marquette E. Crockett,Christopher D. Bugbee","<--BISON | GBIF-->",2,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",2,"","Marquette E. Crockett,Christopher D. Bugbee",1,"Visual Encounter","2002-03-28",2002,3,28,"3/28/2002","US",2820924,582543,"UTM 17","World Geodetic System of 1984",25.50321,-80.17865226,"World Geodetic System of 1984",71,1e-05,208985,208985,"Sphaerodactylus notatus notatus","Integrated Taxonomic Information System (ITIS), 2013.","Sphaerodactylus","notatus","notatus","Subspecies","Baird, 1859","Florida Reef Gecko","Sphaerodactylus notatus notatus"
3,"Gastrophryne carolinensis","Eastern Narrow-mouth Toad",25.42315,-80.20500909,"US",173467,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-29","Marquette E. Crockett","<--BISON | GBIF-->",3,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",3,"Chorusing ten to twenty indiv. collected one specimen","Marquette E. Crockett",1,"Opportunistic Encounter","2002-03-29",2002,3,29,"3/29/2002","US",2812042,579947,"UTM 17","World Geodetic System of 1984",25.42315,-80.20500909,"World Geodetic System of 1984",71,1e-05,173467,173467,"Gastrophryne carolinensis","Integrated Taxonomic Information System (ITIS), 2013.","Gastrophryne","carolinensis","","Species","(Holbrook, 1835)","Eastern Narrow-mouth Toad","Gastrophryne carolinensis"
4,"Anolis sagrei","Brown Anole",25.40434,-80.21598914,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-29","Christopher D. Bugbee/Marquette E. Crockett","<--BISON | GBIF-->",4,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",4,"","Christopher D. Bugbee/Marquette E. Crockett",1,"Visual Encounter","2002-03-29",2002,3,29,"3/29/2002","US",2809952,578855,"UTM 17","World Geodetic System of 1984",25.40434,-80.21598914,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
5,"Hemidactylus mabouia","Amerafrican House Gecko",25.40891,-80.21202237,"US",174058,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-29","Christopher D. Bugbee/Marquette E. Crockett","<--BISON | GBIF-->",5,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",5,"","Christopher D. Bugbee/Marquette E. Crockett",1,"Visual Encounter","2002-03-29",2002,3,29,"3/29/2002","US",2810461,579251,"UTM 17","World Geodetic System of 1984",25.40891,-80.21202237,"World Geodetic System of 1984",71,1e-05,174058,174058,"Hemidactylus mabouia","Integrated Taxonomic Information System (ITIS), 2013.","Hemidactylus","mabouia","","Species","(Moreau De Jonnès, 1818)","Amerafrican House Gecko","Hemidactylus mabouia"
6,"Anolis sagrei","Brown Anole",25.41564,-80.20836936,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-29","Marquette E. Crockett/Christopher D. Bugbee","<--BISON | GBIF-->",6,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",6,"","Marquette E. Crockett/Christopher D. Bugbee",1,"Visual Encounter","2002-03-29",2002,3,29,"3/29/2002","US",2811208,579614,"UTM 17","World Geodetic System of 1984",25.41564,-80.20836936,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
7,"Anolis sagrei","Brown Anole",25.42113,-80.20639456,"US",173903,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-29","Marquette E. Crockett/Christopher D. Bugbee","<--BISON | GBIF-->",7,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",7,"","Marquette E. Crockett/Christopher D. Bugbee",1,"Visual Encounter","2002-03-29",2002,3,29,"3/29/2002","US",2811817,579809,"UTM 17","World Geodetic System of 1984",25.42113,-80.20639456,"World Geodetic System of 1984",71,1e-05,173903,173903,"Anolis sagrei","Integrated Taxonomic Information System (ITIS), 2013.","Anolis","sagrei","","Species","Cocteau in Duméril and Bibron, 1837","Brown Anole","Anolis sagrei"
8,"Eleutherodactylus planirostris","Greenhouse Frog",25.42113,-80.20639456,"US",173568,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-29","Marquette E. Crockett/Christopher D. Bugbee","<--BISON | GBIF-->",8,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",8,"","Marquette E. Crockett/Christopher D. Bugbee",1,"Visual Encounter","2002-03-29",2002,3,29,"3/29/2002","US",2811817,579809,"UTM 17","World Geodetic System of 1984",25.42113,-80.20639456,"World Geodetic System of 1984",71,1e-05,173568,173568,"Eleutherodactylus planirostris","Integrated Taxonomic Information System (ITIS), 2013.","Eleutherodactylus","planirostris","planirostris","Species","(Cope, 1862)","Greenhouse Frog","Eleutherodactylus planirostris planirostris"
9,"Osteopilus septentrionalis","Cuban Treefrog",25.42113,-80.20639456,"US",173538,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-03-29","Marquette E. Crockett/Christopher D. Bugbee","<--BISON | GBIF-->",9,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",9,"","Marquette E. Crockett/Christopher D. Bugbee",1,"Visual Encounter","2002-03-29",2002,3,29,"3/29/2002","US",2811817,579809,"UTM 17","World Geodetic System of 1984",25.42113,-80.20639456,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
10,"Osteopilus septentrionalis","Cuban Treefrog",25.47389,-80.3464325,"US",173538,2002,"observation","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","2002-05-02","Marquette E. Crockett/Andy J. Maskell","<--BISON | GBIF-->",10,"Dataset","en","BISON","USGS Southeast Ecological Science Center - Biscayne Herpetofauna 2002-2003","humanobservation",10,"","Marquette E. Crockett/Andy J. Maskell",1,"Vocalization","2002-05-02",2002,5,2,"5/2/2002","US",2817584,565697,"UTM 17","World Geodetic System of 1984",25.47389,-80.3464325,"World Geodetic System of 1984",71,1e-05,173538,173538,"Osteopilus septentrionalis","Integrated Taxonomic Information System (ITIS), 2013.","Osteopilus","septentrioinalis","","Species","(Duméril and Bibron, 1841)","Cuban Treefrog","Osteopilus septentrioinalis"
